INFO - LoggingAdvice.invoke(117) |2021-08-01T14:27:43,785| In method AdministrationService.saveGlobalProperty. Arguments: GlobalProperty=property: security.allowedFailedLoginsBeforeLockout value: 7, 
INFO - LoggingAdvice.invoke(157) |2021-08-01T14:27:43,878| Exiting method saveGlobalProperty
INFO - LoggingAdvice.invoke(117) |2021-08-01T14:27:43,880| In method AdministrationService.saveGlobalProperty. Arguments: GlobalProperty=property: dashboard.metadata.caseConversion value: null, 
INFO - LoggingAdvice.invoke(157) |2021-08-01T14:27:43,953| Exiting method saveGlobalProperty
INFO - LoggingAdvice.invoke(117) |2021-08-01T14:27:43,959| In method AdministrationService.saveGlobalProperty. Arguments: GlobalProperty=property: allergy.allergen.ConceptClasses value: Drug,MedSet, 
INFO - LoggingAdvice.invoke(157) |2021-08-01T14:27:44,045| Exiting method saveGlobalProperty
INFO - LoggingAdvice.invoke(117) |2021-08-01T14:27:44,049| In method AdministrationService.saveGlobalProperty. Arguments: GlobalProperty=property: allergy.reaction.ConceptClasses value: Symptom, 
INFO - LoggingAdvice.invoke(157) |2021-08-01T14:27:44,136| Exiting method saveGlobalProperty
INFO - LoggingAdvice.invoke(117) |2021-08-01T14:27:44,138| In method AdministrationService.saveGlobalProperty. Arguments: GlobalProperty=property: search.indexVersion value: null, 
INFO - LoggingAdvice.invoke(157) |2021-08-01T14:27:44,242| Exiting method saveGlobalProperty
INFO - LoggingAdvice.invoke(117) |2021-08-01T14:27:44,247| In method AdministrationService.saveGlobalProperty. Arguments: GlobalProperty=property: forms.locked value: false, 
INFO - LoggingAdvice.invoke(157) |2021-08-01T14:27:44,586| Exiting method saveGlobalProperty
INFO - LoggingAdvice.invoke(117) |2021-08-01T14:27:44,590| In method AdministrationService.saveGlobalProperty. Arguments: GlobalProperty=property: drugOrder.requireDrug value: false, 
INFO - LoggingAdvice.invoke(157) |2021-08-01T14:27:44,678| Exiting method saveGlobalProperty
